Available bandpass filters
===================================
idx|   f1  |   f2   |  fs  | or | type
===================================
000|  0.10 |    0.0 |   32 |  8 | 1
001|  1.00 |    0.0 |   32 |  8 | 1
002|  2.00 |    0.0 |   32 |  8 | 1
003|  5.00 |    0.0 |   32 |  8 | 1
004|  0.00 |   15.0 |   32 |  8 | 1
005|  0.01 |   15.0 |   32 |  8 | 1
006|  0.10 |   15.0 |   32 |  8 | 1
007|  0.50 |   15.0 |   32 |  8 | 1
008|  2.00 |   15.0 |   32 |  8 | 1
009|  0.10 |    0.0 |   64 |  8 | 1
010|  1.00 |    0.0 |   64 |  8 | 1
011|  2.00 |    0.0 |   64 |  8 | 1
012|  5.00 |    0.0 |   64 |  8 | 1
013|  0.00 |   30.0 |   64 |  8 | 1
014|  0.01 |   30.0 |   64 |  8 | 1
015|  0.10 |   30.0 |   64 |  8 | 1
016|  0.50 |   30.0 |   64 |  8 | 1
017|  2.00 |   30.0 |   64 |  8 | 1
018|  0.10 |    0.0 |  128 |  8 | 1
019|  1.00 |    0.0 |  128 |  8 | 1
020|  2.00 |    0.0 |  128 |  8 | 1
021|  5.00 |    0.0 |  128 |  8 | 1
022|  0.00 |   30.0 |  128 |  8 | 1
023|  0.00 |   60.0 |  128 |  8 | 1
024|  0.01 |   30.0 |  128 |  8 | 1
025|  0.01 |   60.0 |  128 |  8 | 1
026|  0.10 |   30.0 |  128 |  8 | 1
027|  0.10 |   60.0 |  128 |  8 | 1
028|  0.50 |   30.0 |  128 |  8 | 1
029|  0.50 |   60.0 |  128 |  8 | 1
030|  2.00 |   30.0 |  128 |  8 | 1
031|  2.00 |   60.0 |  128 |  8 | 1
032|  0.10 |    0.0 |  256 |  8 | 1
033|  1.00 |    0.0 |  256 |  8 | 1
034|  2.00 |    0.0 |  256 |  8 | 1
035|  5.00 |    0.0 |  256 |  8 | 1
036|  0.00 |   30.0 |  256 |  8 | 1
037|  0.00 |   60.0 |  256 |  8 | 1
038|  0.00 |  100.0 |  256 |  8 | 1
039|  0.01 |   30.0 |  256 |  6 | 1
040|  0.01 |   60.0 |  256 |  8 | 1
041|  0.01 |  100.0 |  256 |  8 | 1
042|  0.10 |   30.0 |  256 |  8 | 1
043|  0.10 |   60.0 |  256 |  8 | 1
044|  0.10 |  100.0 |  256 |  8 | 1
045|  0.50 |   30.0 |  256 |  8 | 1
046|  0.50 |   60.0 |  256 |  8 | 1
047|  0.50 |  100.0 |  256 |  8 | 1
048|  2.00 |   30.0 |  256 |  8 | 1
049|  2.00 |   60.0 |  256 |  8 | 1
050|  2.00 |  100.0 |  256 |  8 | 1
051|  5.00 |   30.0 |  256 |  8 | 1
052|  5.00 |   60.0 |  256 |  8 | 1
053|  5.00 |  100.0 |  256 |  8 | 1
054|  0.10 |    0.0 |  512 |  8 | 1
055|  1.00 |    0.0 |  512 |  8 | 1
056|  2.00 |    0.0 |  512 |  8 | 1
057|  5.00 |    0.0 |  512 |  8 | 1
058|  0.00 |   30.0 |  512 |  8 | 1
059|  0.00 |   60.0 |  512 |  8 | 1
060|  0.00 |  100.0 |  512 |  8 | 1
061|  0.00 |  200.0 |  512 |  8 | 1
062|  0.01 |   30.0 |  512 |  6 | 1
063|  0.01 |   60.0 |  512 |  6 | 1
064|  0.01 |  100.0 |  512 |  6 | 1
065|  0.01 |  200.0 |  512 |  8 | 1
066|  0.10 |   30.0 |  512 |  8 | 1
067|  0.10 |   60.0 |  512 |  8 | 1
